screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
RedEaglePrime,Chess Red Eagle,"Arlington, TX","Oh, just your average dude. Living life, playing video games, watching and listening to stuff I like. As you were.","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
JustmeAnybody,Justme Anybody,,Not alt right not alt left a proud American who lives in reality supports Democracy wears masks reports Covid disinfo My opinions retweet not endorsement no DMs,"RT @ChelseaClinton: The cruelty of ⁦Arkansas’s Republican legislators: Michele Hutchison, who runs a clinic for transgender adolescents at…",,,,,,
just_4_diary,👩🏾‍🦲 Keeping up with the RMs (send help),SFW • 🚫 (NO)MAPs\Bigots\Exlus,"(they/them) ONLY • limp wristed • i'd say ""opinions are my own"" but that's for basic bitches so opinions are an amalgamation of my experiences","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
DanielleFong,💁🏻‍♀️,🌎,international woman of mystery,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
latenightsonice,zk,,"crying in a cool way - 'you're so golden' -
(i don't tweet much cause i don't talk much) - fan account 🌈 (any pronouns) - 21+","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
e_nemophile,erica,,"typically dwelling near wetlands, often with a cat. interested in sustainable tech and geographies of temporality. she/they",Behind schedule on posting this but Kanoa is my friend and pen pal &amp; I want to share his petition. Kanoa is a trans… https://t.co/MWaCsK1GaV,,,,,,
cattcliff,cc,"Michigan, USA",,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
PsiionicVII,🏳️‍🌈 ⚔️ Gay420Gay🤺🏳️‍⚧️ #BlackLivesMatter,Somewhere that's Nowhere...,"Marinel | 21 | they/them, he/him ⚧️ | Polyam Pansexual dude | Tumblr: Cloud-Link-VII
#BLM #ACAB #NoJusticeNoPeace #TransRightsAreHumanRights","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
redstars71,Redstars71,,"Redstars ♀️ - Original character creator - Art, creative writing, and video game fandom posts -","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
KossyOkoli,Aizen,Hueco Mundo,,"RT @Drwhales_: Social Media pressure is real.

I’ve seen people succumb to social Media pressure and validation when making key life decisi…",,,,,,
cherrypiiiii,🍒🥧🍒🥧,,#BlackLivesMatter #AllCopsAreBad,RT @JewdyGold: Stop attacking transgender youth. Just fucking stop it.,,,,,,
PublicOutcrySy,ONGOING SLAUGHTER,Northern California,"My ancestors are John & Abigail Adams. God is with the Revolution.                  
VISIT my Likes ❤️ & RT for Syria!
Downfall regimes!

#NoJusticeNoPeace 💚🐜","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
Enby_Finery,Moderna Madam💉🏳️‍🌈(They/Them),,"Tweets & retweets LGBT+,political, & human rights| Non-binary, Asexual| They/Them/Theirs| If inactive, I'm college-ing| Instagram: enby_finery","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
dnbenedictfilm,Danielle Benedict (fae/faer),,Genderqueer femme (far/faer) *** NYC independent producer/director *** BLM *** ACAB,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
tanyia,tanyia,None of your business ,,RT @LizSzabo: An Arkansas doctor says four kids in her hospital's transgender health program have attempted suicide just since law was pass…,,,,,,
VestaBlackclaw,Enya | FFXIV 5.5/DMC/FE3H/KH 🌹,"Maine, USA","She/her, 25 - queer af writer and artist with xaela brainrot | Aether | Abolish the fucking police. 18+ acc: @VestaSpiceclaw","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
BlueBallSmokey,Smokey - Nin-Endo Switch,The Treetop Inn,"🔞Smokey's AD account. I get lewd. Spicy takes. BLM, Trans rights. He/him, she/her, whatever pronoun you like. Demi, Poly, Pan. NAZI FURS FUCK THE HELL OFF🔞","RT @marufawks: Recently my car was stolen, taken for a joy ride, and totaled. I am a self employed transgender creator, and yesterday was m…",,,,,,
abluedrag,Smokey,The Treetop Inn,"Dragon. Writer. Innkeeper. Bacon. BLM. Trans rights. He/Him (though any pronoun is fine). Demi, Poly, Pan.","RT @marufawks: Recently my car was stolen, taken for a joy ride, and totaled. I am a self employed transgender creator, and yesterday was m…",,,,,,
matthewkawahara,Matt Kawahara,,A's beat writer for The San Francisco Chronicle. mkawahara@sfchronicle.com,"RT @SportingGreenSF: 🎙️ Total SF Podcast: Christina Kahrl 🎙️

Kahrl was the first out transgender sports reporter, and takes over as @Sport…",,,,,,
_harro17,HUGH.H3FNER☘️,"London, England",3’Kamz,"@KingOfSomalia9 Ignore that transgender part, these niggas give me case studies with khanis shit lol, if I be homop… https://t.co/tflQarN7Fh",,,,,,
CynthiaMN5,Strong Coffee,"Minneapolis, MN (Still Dakota)","Cynthia White, PhD.  Disabled by CFS (really, disabled).
Left Democrat. (She/her cis)  #bloggesstweeps . IG: lattesdotter","RT @ChelseaClinton: The cruelty of ⁦Arkansas’s Republican legislators: Michele Hutchison, who runs a clinic for transgender adolescents at…",,,,,,
KSzoomerStyle,Kansas Zoomer,,I LOVE BEING A VIRGIN I LOVE BEING A VIRGIN I LOVE BEING A VIRGIN I LOVE BEING A VIRGIN I LOVE BEING A VIRGIN I LOVE BEING A VIRGIN I LOVE BEING A VIRGIN. white,They really tryna normalize transgender republicana smh https://t.co/fs5jXBQ9vx,,,,,,
ResistorxMad,LucienCatt,"Ottawa, Canada",Is anyone got eight dollars?,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
PileyBenton,Piley Bentons posting their W's online,,"Video Essayist on the YouTube
https://t.co/jggZJutTAh
Carly Rae Jepsen's 'Emotion' Enjoyer
Voted most likely to succeed by @CameronHoug 
(He/him/his)","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
HPerkins27,Harrison Perkins,Earth,,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
sapphicswiftie,"💛 head first, fearless 💛",,liz | she/her | feeling 22 | california | i'm just a big ol' lesbian buddy | terfs fuck off | multi account | pfizer gang | black lives matter,"RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
UltimateEvo,Eevelius (TWEWY Brain Rot Edition),"Indiana, USA",Pronouns: Yo/Dawg (enby/pansexual) Rare NSFW. Dumbass MF with a Dummy Thicc heart. I retweet too much. I also shitpost. Expert Political Satirist (tm),"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
pr1ncess_emily,💖 sincerely ✨ emily 🧡,Boise,"~femboy and yimby enthusiast~  ~simp for democracy~ ~questioning (everything)~ ~minor (in case you were wondering, weirdo)~ ~private: @em1ly_is_away~",@bobposting yes i'm attracted to transgender people. problem? https://t.co/aH70FpYT8G,,,,,,
Salt_Atronach,Arlen Kord,"Warwick, RI",Computer science student with a coffee addiction. I'll bitch about most things. She/They.,@frenofpede @hockeybun @hildekumarix @alanadawn99 @DallasStars This study looked at subjective tests (sit-ups and p… https://t.co/yexunX8N28,,,,,,
CodeM369,CodeM,,Back-up Account,"Six Sexes

https://t.co/DNFjVU9wYf",,,,,,
kinnehan,Ari 'Squirrels Rule',Michigan,"Writer, OBOD, CR - Progressive, humanist. #GOODTROUBLE Dogs. Nature. Animals. Truth in journalism. Master Gardener. Michigan native.  
he/him
 I follow back.",RT @LizSzabo: An Arkansas doctor says four kids in her hospital's transgender health program have attempted suicide just since law was pass…,,,,,,
rei_decora,rei ♡ ༉・₊˚,they/them | USA,"﹥ˏˋ♡̩͙♡̩̩̥͙ proud parent of traumatized immortals ♡̩̩̥͙♡̩͙ˊˎ﹤
16 • digital artist • commission + comic info in carrd ♡","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
kraidy117,💚kraidy💚,Brinstar,"30/Male A big fan of Fallout, Falcom, DMC, Mega Ten, Kirby, Metroid and One Piece. Retweets can be lewd. #FF14 Fiona Branford @ Mateus  #DQhive 🖤🦅","The concept of transgender has been around for centuries, its like saying the concept of homosexuality is a modern… https://t.co/7bH7zG9n13",,,,,,
RaymondSimonJr1,Raymond Simon Jr. pronouns he/him,"Connecticut, USA",All around nerd & will post random things at any moment from comics to video games to politics.,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
QueenKrystina96,Krystina Nicole Powell,,"Burkean Conservative, Hobbesian, Mainline Protestant, Transsexual MTF, Lesbian, Blue Lives Matter, Pro Life.",RT @lay_man_: Canadian Conservatism could be creating policy incentives for local business creation and reasonable welfare policy to incent…,,,,,,
SophiaLamar1,SophiaL,,,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
mplilowl20,michelle🤘,,I’ve been drinking coffee (and matcha)😌 | she/her #StopAsianHate,"RT @thepancakejake: Friendly reminder that you cannot simultaneously be an #ally for trans folks and throw “gender reveals”.

You are, howe…",,,,,,
danapaige23,Dana von Cancel Student Debt 🗽🌷,"Heads, Rent Free",PR+Digital Strategist. Unapologetic nerd. Lifelong TV scholar. Here for Strategery & Politics. #WarrenDem 💚 #TheFutureIsProgressive (she/her),"RT @fennec_sasha: ""[Layleen Polanco] The 27-year-old transgender woman had been arrested for allegedly agreeing to perform oral sex on an u…",,,,,,
HLcure2020,"HairLossCure2020, Not MD, Not PhD.",United States,"Hair loss cure and treatment breakthrough news. Hair cloning, hair multiplication and hair regeneration breakthroughs.","Amazing Male-to-Female (MTF) transition hair regrowth examples: #transgender #MTF

https://t.co/N1H7xsJbJp",,,,,,
Gaiswinkl,Rohan Gaiswinkler,,The human race has two possible futures: socialism or barbarism.,"RT @wilmawalrus: @firstdogonmoon Thank you for blocking - the more that transphobes are yelling into the wilderness with no one listening,…",,,,,,
ToccoTrevor,Trevor Tocco,,,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
MediaCamille,Camille Carolyn Knox,"florida now, michigan forever.","lead assignment editor @Snopes | founder of Write Knox Press | author of ""The Sweetest Fruit,"" available via @Amazon | runner | @michiganstateu alumni",RT @abcactionnews: A series of books written by teens aims to help foster understanding and clarity about what it means to come out as a yo…,,,,,,
BC74700405,BC,,,"@AnnaForFlorida This is absolutely horrible. However, the Florida GOP is currently more concerned about ostracizing… https://t.co/anMULxnslH",,,,,,
grannygal,Sarah G,in the fracking UK,Just trying to cultivate my garden. #IstandwithJKRowling,"Father jailed for calling his transgender child, who was born female, his ‘daughter’ and denouncing ‘her’ medical t… https://t.co/J7j2FBHAO6",,,,,,
lordhowdy,☀️ Samson 🌕,"Austin, TX","26 • sounds and words and more • he/they 🏳️‍⚧️• IG: samsonjoelpatrick • opinions are my own, but we can share • DM me your art while you’re here","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
CanisTenebris,Mister Badguy 🔥BLM/Trans Rights🔥,"San Diego, CA","Voice Actor, writer. Big Yote, my power is Maximum. (18+) (He/Him) 💜 @Huttsergreywolf 💜 -Art/VO/Gunpla #MisterBadGuyDidTheThing PFP @leon_spottydog","RT @marufawks: Recently my car was stolen, taken for a joy ride, and totaled. I am a self employed transgender creator, and yesterday was m…",,,,,,
cacarusoo,Catherine Caruso 🔮,"Emmaus, Pennsylvania","Freelance Writer | Bylines @PhillyInquirer, @Medium, @HealthDigestUS, @LiberalCurrents, @GlblCtzn | @SyracuseU Alum | 🏳️‍🌈 | catherineann.caruso@gmail.com","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
twink_repellent,clay: wants to learn 🎷,"Dallas, TX",25 - gay - ☉Capricorn ☽Libra ↑Scorpio - the original sara bareilles stan - he/they - jason bateman’s secret son,"RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
SportingGreenSF,Sporting Green,"San Francisco, CA",Insider information on the Bay Area's teams straight from The San Francisco Chronicle’s sports writers and editors.,"🎙️ Total SF Podcast: Christina Kahrl 🎙️

Kahrl was the first out transgender sports reporter, and takes over as… https://t.co/B40lxBsbuG",,,,,,
chasestrangio,Chase Strangio,"New York, NY",He/him or they/them. All views my own.,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
20naomijess21,(((Naomi2021Jess))),,"🕎Me💜 Myself 🏳️‍🌈I GenderQueer
2021 New Improved Twitter🕊️⚖️💜Agitat😷r 🔯Educat💙r 
🌈😷rganizer⚖️ Journalist SocioLinguistic Marxist Anthropologist",@Caitlyn_Jenner Why when cisgender people are lying about your car accident would you misinform people about Califo… https://t.co/TC6H5T4aug,,,,,,
VCommie,RJ🦀🧶,,"He/Him. Disaster Bi. Programmer, still in college. Huge nerd. I like vim, functional programming, and cooking.","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
FilmArtPhoto,It's Just The Anti-Fascist Film Lady,"Land of Enchantment, USA","Film Hoarder, Camera Collector, Photographer. 
Book Nerd. Spelling Bee Pronouncer. Love My Cat. 
🌊🌊🌊 I swear sometimes.  
#BlackLivesMatter  #StopAsianHATE",RT @JewdyGold: Stop attacking transgender youth. Just fucking stop it.,,,,,,
OneEyeTigh,Arenado fan Tigh,your mind and mine,"Navy vet, Rockies fan, he/him.
Not everything that is faced can be changed, but nothing can be changed until it is faced-James Baldwin

#BlackLivesMatter","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
rnanjad,(Ran)domly Selected: Distance Socialing 🇨🇦,"Ottawa, Ontario","Canadian by birth, Guyanese by association, Scotch by absorption. CCXP/CX Mad Scientist. Muppet-researcher; aspiring musicologist; sport enthusiast.","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
sleek50,Toria26,badnews va,,RT @216_Nez: I always knew #BlackLivesMatter was a LGBT org but I never knew it was this blatant. They raised 90m in funds and reallocated…,,,,,,
ninjacatmuffin1,Ash,,"Ash. 20+, any pronouns IDC. Aro ace, ASD. Anime, VGs, and OCs. 

RT heavy. Sorry!

24/7 Waver/LEM2 hours.

I draw and write fic. Icon by @gripelord","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
THlNKlGN,link / neil,14 • he / se / they,proship/nsfw dni • carrd byf,omg . .. . . .. ..... transgender shoes https://t.co/RHoeel1eMD,,,,,,
brontyman,Michael F Ozaki MD,Southern California,"Husband-Retired Pediatrician-Berkeley Grad- I Resist, I Persist","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
bobposting,Miss​ V​​oi​ce T​​​rain​​​ing​​​,any pronouns,"Bovinian, voice training enthusiast, addicted to estrogen.
Voice training DISCORD: https://t.co/AdKDVcXQBX
https://t.co/BaDH6K3Hax",You're attracted to transgender people? Why are you a disgusting chaser creep? https://t.co/BfJiCvdyJc,,,,,,
christi65764465,christine,,Mom,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
justice_scp,Amiriegentixhatemail,Alternia ,Justice he/him ☽☾ • I'm an artist that posts almost no art • french (derogatory) • 💉 19/04/2021,"RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
trashqueerkae,Kae (they/them in stem),"Nevada, USA",Screaming into the void. they/them feral human STEAM 🐎🐎🐈‍⬛🐈‍⬛🐕🐕🐉 🐓x40,"RT @Frances_Larina: Caitlyn Jenner is running specifically to oust the Governor that helped protect transgender kids, teens and adults.
She…",,,,,,
GypsyCyn1,🖤Harlow🖤,"near the water, USA","Pagan Solitary. Not really a people person. Hate politics, hypocrisy, blind faith. Love writing, music, coffee,tequila, sushi, guns, road trips and freedom.",RT @yaf: You can't be a feminist and a transgender activist at the same time.,,,,,,
VidasTelesur,Vidas TeleSUR,"Caracas, Venezuela","Hacemos televisión para la cultura. Difundimos obras, pasiones, creencias e historias de las vanguardias culturales, artísticas y literarias de mundo.","RT @redfishstream: In Mexico, the world's second deadliest country for transgender people, activists like @Kenyacuevas83 are fighting again…",,,,,,
CinnaLozano,Cinnmxn in progress. 🏳️‍🌈 (They/Them),Mask Up! Stay at Home! 😷,"Agender Anti-fascist 
if you're gonna add me to a list, I'll make sure my tweets are fire 🔥
ACAB • BLM • LGBTQIA folx safe here.
Pronouns: They/Them.","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
dick_genital,dick genital,He/Him,Shut up,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
KirstiMiller30,Kirsti Miller,BROKEN Hill ,"Loudly Trans - She/Her -World Aquathon Champion- Dual international athlete & educator in diversity & inclusion in sports, former Prison Gov & proud Nan of 7❤️","RT @alawriedejesus: ""All of these bills are dangerous and harmful to LGBTQ people, &amp; many of them have particularly singled out some of the…",,,,,,
selahmorrigan,femmeperivm dommeinorvm,"mons vaticanus, subterrane","Selah
she/her/hers
troublesome priestess, data hooligan, 
villain-coded gay, esoteric bimbo,
genetically baroque sexual turncoat,
marvel, monster, prodigy, sign","RT @doubleca5t: Calling Caitlyn Jenner a ""transgender activist"" is an insult to trans people and an insult to activists",,,,,,
Void_Harpy,"Void, Bimbo Extraordinaire 🌽","Massachusetts, USA","18+, Anishinaabe, Political Junkie, She/Her, Trans and Loud, Certified Bird App Failure, best tweets you've never heard of.","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
CathyKell19,Cathy Kell,,"I will be with you when you pass through the waters, and through the rivers, and when you walk through fire - Isaiah 43:2",RT @Locksneedfartin: Most people do not know this. But transgender women DO menstruate. However instead of a natural shedding of a uterus l…,,,,,,
bouncermom,bouncermom,Great lakes region,Cynicism and sarcasm are survival skills.,"RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
ConstntMigraine,Pretend I have a clever name,United States,"I follow too many people 
/20","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
DavidBuscemi7,David Buscemi,,,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
Tyska,Tyska,"Oakland, Calif.","Photojournalist @eastbaytimes @oaktribnews @mercnews Musician, rodeo champ, sailor, traveler, drone pilot. Brush with a Pulitzer or two. There when news breaks.",'A jewel in our community': San Jose mourns slain transgender woman https://t.co/KKpu9b1AHh via @mercnews,,,,,,
CathyKell19,Cathy Kell,,"I will be with you when you pass through the waters, and through the rivers, and when you walk through fire - Isaiah 43:2",RT @Locksneedfartin: the life expectancy of post op transgender people is measured not in decades but years. This is because while transiti…,,,,,,
Unitingforpeac1,Unitingforpeace,,,"RT @LeZicky: Last night, Ma Khaing Khaing was abducted by the Junta for taking part in blue shirt campaign online. She's a sweet and unapol…",,,,,,
wakingatlast,🤷🏾‍♀️....🤸🏿‍♀️,Maryland,25. DMV. #BlackLivesMatter ✊🏾,"RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
cyborgtentacles,CyborgHexapus4,"Indiana, USA","I know my profile is weird, just ignore it. Genderfluid/Willing Writer (Kofi:https://t.co/dGs2EUllfx) Web-Novel:https://t.co/7rr0BcjfVW","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
holyschn,ℍ𝕆𝕃𝕐 𝕊ℂℍℕ𝕀𝕂𝔼𝕊 🏳️‍🌈,"New York, USA","If you want me to take a dump in a box and mark it guaranteed I will. I've got spare time.

                              She | Him | They","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
straythotsxox,bungo stray thots⁷✿,Small Town ♡,"Lvl. 19 | blm, sah, mlm, i matter | she/her, they/them | ♋︎ | anti | pan | Fligh High, Katsuki. Rip Amajiki 🕊","RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
DrGoldfire,Molly H,"Portland, OR","~ she/her 🏳️‍🌈🏳️‍⚧️ ~ Computers were a mistake. ~ I work on @Mozilla @Firefox but this account is very much personal, and as much politics as tech nowadays.","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
Action2getherNJ,ActionTogetherNJ,"New Jersey, USA","Action Together™ New Jersey got you secure ballot drop boxes, Ballot Cure, and Track My Ballot. Donate: https://t.co/3jA0KV5nQa  Exec Dir. @winnkhuong","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
bivey,Bill Ivey,Pocumtuc land,My family comes first. Middle School Dean. Activist. Imperfect. Person; He/Him/His. @momsdemand volunteer. #NonbinaryEd,"RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
